tag,group,hr,ndcg,best_round,actual,upload_mb,false_ratio,trusted,eps
D1_dp_0,D,0.3997879109225875,0.20219618126139444,22,25,4843.3502197265625,0.7529041719732932,135.79003181336162,
D2_dp_0.005,D,0.4241781548250265,0.2157570684223378,23,25,4843.3502197265625,0.7333308939519605,139.11134676564157,5000.0
D3_dp_0.01,D,0.41675503711558853,0.21042248959528884,23,25,4843.3502197265625,0.7375829619845865,135.26193001060446,2500.0
D4_dp_0.05,D,0.40402969247083775,0.19797682328223024,24,25,4843.3502197265625,0.7433191739401878,133.41251325556735,500.0
D5_dp_0.1,D,0.4093319194061506,0.20482744676993,22,25,4843.3502197265625,0.623283184155399,209.77094379639448,250.0
H1_attn_len5,H,0.3997879109225875,0.20219618126139444,22,25,4843.3502197265625,0.7529041719732932,135.79003181336162,
H2_attn_len10,H,0.3488865323435843,0.17239459999199938,24,25,4843.3502197265625,0.7261902494762902,121.9745493107105,
H3_attn_len20,H,0.3022269353128314,0.1508390359196344,23,25,4843.3502197265625,0.7190228060176767,131.7476139978791,
H4_noattn_len5,H,0.4284199363732768,0.2219173666831801,24,25,4843.3502197265625,0.6689994542157432,159.49522799575823,
H5_noattn_len20,H,0.4284199363732768,0.2219173666831801,24,25,4843.3502197265625,0.6689994542157432,159.49522799575823,
S1_soft_beta_0.5,S,0.4676564156945917,0.25157715278397363,24,25,4843.3502197265625,0.7071913611965311,157.11558854718982,
S2_soft_beta_0.7,S,0.4623541887592789,0.2395318681681465,24,25,4843.3502197265625,0.7346172061240652,141.42735949098622,
S3_soft_beta_0.85,S,0.44538706256627786,0.22292100990210728,24,25,4843.3502197265625,0.724584111028428,143.64793213149522,
S4_soft_beta_0.95,S,0.41993637327677624,0.22191101640011293,22,25,4843.3502197265625,0.7062859369623706,150.26511134676565,
T0_no_graph,T,0.46553552492046657,0.25283035756139083,24,25,4843.3502197265625,0.0,0.0,
T1_item_only,T,0.46447507953340406,0.24649146190163518,24,25,4843.3502197265625,0.0,0.0,
T2_interest_only,T,0.4623541887592789,0.24231132256737264,22,25,4843.3502197265625,0.0,0.0,
T3_alpha_0.5,T,0.46553552492046657,0.248135380189449,23,25,4843.3502197265625,0.0,0.0,
T4_union,T,0.4676564156945917,0.25157715278397363,24,25,4843.3502197265625,0.7071913611965311,157.11558854718982,
T5_intersection,T,0.3997879109225875,0.20219618126139444,22,25,4843.3502197265625,0.7529041719732932,135.79003181336162,
Z_centralized,Z,0.6871686108165429,0.4110118741760377,24,25,0.0,0.0,0.0,
